case_name,timestamp,total_time,gmsh_to_foam_time,decompose_par_time,solver_time,peak_memory_usage,cell_count,max_courant_number,avg_iterations_per_timestep,final_residuals
task_2D_Cylinder_Template,2025-05-03 01:04:23,2740.0196883678436,0.29196619987487793,0.41940760612487793,2687.9674184322357,45.04296875,15820,24.0161,1.0,{'p': 0.000155463}
task_2D_Cylinder_Template_fine,2025-05-03 01:50:03,23407.705281496048,1.1393401622772217,1.4870922565460205,23090.779797315598,46.84765625,64676,50.368,1.0,{'p': 4.80237e-05}
task_2D_Cylinder_Template_coarse,2025-05-03 08:20:11,1046.8126018047333,0.10603117942810059,0.1478266716003418,1032.169141292572,46.97265625,3849,12.0595,1.0,{'p': 0.000476179}
task_cfl_20,2025-05-16 12:18:26,2683.050077199936,0.7359521389007568,0.8685438632965088,2637.4383132457733,26.78125,0,20.8814,1.0,{'p': 0.000149913}
task_cfl_5,2025-05-16 14:11:32,8144.849137306213,0.7213528156280518,0.7354271411895752,8091.495970726013,26.359375,0,5.25823,1.0,{'p': 0.00032133}
